alpha3,economy,weight_ex_hk_mac
AFG,Afghanistan,0.0002328047494745
AGO,Angola,0.0006903554472565
ALB,Albania,0.0002025871131278
ARE,United Arab Emirates,0.0088735797402641
ARG,Argentina,0.0031209183721048
ARM,Armenia,0.0001250162532643
AUS,Australia,0.0203488066693227
AUT,Austria,0.0045224964639715
AZE,Azerbaijan,0.001179251025134
BDI,Burundi,3.510334620976936e-05
BEL,Belgium,0.0131087960627318
BEN,Benin,0.0005809845237729
BFA,Burkina Faso,0.0002358086689368
BGD,Bangladesh,0.0021299482518388
BGR,Bulgaria,0.0011879376241632
BHR,Bahrain,0.0014836553455704
BHS,Bahamas,0.0001974334418113
BIH,Bosnia and Herzegovina,0.0002277903851724
BLR,Belarus,0.0005520199774034
BLZ,Belize,2.718569792367916e-05
BOL,Bolivia,0.0002985775062724
BRA,Brazil,0.0056425661760638
BRB,Barbados,8.104837693490256e-05
BRN,Brunei,0.0011765927146467
BTN,Bhutan,4.29430370247717e-05
BWA,Botswana,0.0003198617635558
CAF,Central African Republic,4.283512801061599e-05
CAN,Canada,0.0308407786161257
CHE,Switzerland,0.0088084047544759
CHL,Chile,0.0030342033718549
CIV,Cote d'Ivoire,0.0006821885192617
CMR,Cameroon,0.0004751202647172
COD,Democratic Republic of Congo,0.0002180305088976
COG,Congo,0.0002876564571294
COL,Colombia,0.001769388283814
COM,Comoros,2.414894962918982e-05
CPV,Cape Verde,1.658005161731483e-05
CRI,Costa Rica,0.0006838142261307
CUB,Cuba,0.0011153153767342
CYP,Cyprus,0.0001690784714649
CZE,Czechia,0.0022335089867557
DEU,Germany,0.0527620522943136
DJI,Djibouti,0.0001259566261705
DMA,Dominica,9.244777971399895e-06
DNK,Denmark,0.0041599620910352
DOM,Dominican Republic,0.0005361648044975
DZA,Algeria,0.0023187756309354
ECU,Ecuador,0.000794379307593
EGY,Egypt,0.003540667910094
ERI,Eritrea,2.469959625680375e-05
ESP,Spain,0.0157154630358947
EST,Estonia,0.0003726377678802
ETH,Ethiopia,0.001166071789444
FIN,Finland,0.0031630977146451
FJI,Fiji,0.0001420668567619
FRA,France,0.0201285148644992
FSM,Micronesia,1.875793117907119e-05
GAB,Gabon,0.0003235753746294
GBR,United Kingdom,0.0359731689084463
GEO,Georgia,0.0002587293054366
GHA,Ghana,0.0010998366616646
GIN,Guinea,0.0002825667474215
GMB,Gambia,3.975526257160537e-05
GNB,Guinea-Bissau,2.11314293302541e-05
GNQ,Equatorial Guinea,0.0001337149491008
GRC,Greece,0.0019603548624627
GRD,Grenada,2.125662956642782e-05
GTM,Guatemala,0.0007120574530475
GUY,Guyana,4.389836167820518e-05
HKG,Hong Kong,0.0
HND,Honduras,0.0005336486107518
HRV,Croatia,0.0005685863354287
HTI,Haiti,0.0002226061316997
HUN,Hungary,0.0018045340178749
IDN,Indonesia,0.0082684805893239
IND,India,0.0161613315633939
IRL,Ireland,0.0022289759227699
IRN,Iran,0.0058354611254647
IRQ,Iraq,0.0018943687744242
ISL,Iceland,0.0001067960748268
ISR,Israel,0.0014947475730775
ITA,Italy,0.022366037884903
JAM,Jamaica,0.0001957607898761
JOR,Jordan,0.0007995200900826
JPN,Japan,0.1136529691319985
KAZ,Kazakhstan,0.0017586366047637
KEN,Kenya,0.0007759221306965
KGZ,Kyrgyzstan,0.0002492540568094
KHM,Cambodia,0.0016549996504459
KIR,Kiribati,1.03751052046437e-05
KNA,Saint Kitts and Nevis,8.990226768903506e-06
KOR,South Korea,0.0481452394417049
KWT,Kuwait,0.0021506507577283
LAO,Laos,0.0004520046448303
LBN,Lebanon,0.0007216592957403
LBR,Liberia,0.0001019424789377
LBY,Libya,0.0006241990907946
LCA,Saint Lucia,2.713022135469539e-05
LKA,Sri Lanka,0.0008498682084193
LSO,Lesotho,7.50058924345367e-05
LTU,Lithuania,0.0005474211471808
LUX,Luxembourg,0.0004647845999332
LVA,Latvia,0.000393016422038
MAC,Macao,0.0
MAR,Morocco,0.0016250130620061
MDA,Moldova,0.0001927248255391
MDG,Madagascar,0.0002287776495435
MDV,Maldives,5.522455834663495e-05
MEX,Mexico,0.0244169968274792
MHL,Marshall Islands,8.775928751197094e-06
MKD,North Macedonia,0.0002370799619666
MLI,Mali,0.0002638240098966
MLT,Malta,0.0001306375361605
MMR,Myanmar,0.0014116455388162
MNE,Montenegro,8.240181084380466e-05
MNG,Mongolia,0.000349644932492
MOZ,Mozambique,0.0003171181457407
MRT,Mauritania,0.0001356090753598
MUS,Mauritius,0.0002364697653159
MWI,Malawi,0.000121517895452
MYS,Malaysia,0.0153736508458594
NAM,Namibia,0.0002466112741579
NER,Niger,0.0001230077953109
NGA,Nigeria,0.0025738415914066
NIC,Nicaragua,0.0002302925022868
NLD,Netherlands,0.0393955093210357
NOR,Norway,0.0029343945240589
NPL,Nepal,0.0004938782045967
NZL,New Zealand,0.0024597848962125
OMN,Oman,0.0012702324799147
PAK,Pakistan,0.0021583822046528
PAN,Panama,0.0005449012251169
PER,Peru,0.0015110985236837
PHL,Philippines,0.0039020764645537
PLW,Palau,6.103735583604936e-06
PNG,Papua New Guinea,0.0002090277381986
POL,Poland,0.002921480344179
PRT,Portugal,0.0014276246406789
PRY,Paraguay,0.0003629267662332
QAT,Qatar,0.001238879407807
ROU,Romania,0.0013585393097258
RUS,Russia,0.0142736794414476
RWA,Rwanda,0.0001372182537243
SAU,Saudi Arabia,0.0059430922245924
SDN,Sudan,0.0005729555220298
SEN,Senegal,0.0003711606278558
SGP,Singapore,0.0255282426244642
SLB,Solomon Islands,2.437877848656762e-05
SLE,Sierra Leone,7.716404045530182e-05
SLV,El Salvador,0.0003707971895511
SOM,Somalia,5.863627543759373e-05
SRB,Serbia,0.0007595234679869
SSD,South Sudan,0.000105437328835
STP,Sao Tome and Principe,7.99487189607173e-06
